termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","004455","Computer and Electronic Music Composition","Jeffrey O. Snyder","MUS 316","LA","MUS/COS 314 or Permission of the Instructor.","A composition workshop class  in the context of the traditional sound studio. Emphasis will be on the student's creative work  composing both \"fixed media\" works and live electronic/laptop music."
"1164","009392","Special Studies in Modernism - Post-War Realisms: British and Irish Fiction  Documentary and Film","Clair E. Wills","ENG 567 MOD 529","","","This course interrogates critical approaches which read contemporary realism as a legacy of modernism. In the first half of the course we examine a number of 1950s realist and \"documentary\" writers and film-makers  including Alan Sillitoe  Colin MacInnes  John Berger  Edna O'Brien  Philip Donnellan and Doris Lessing  in the context of work by Richard Hoggart and Raymond Williams  and debates on working-class realism  feminism  migration  and the New Left. This literary-historical background form the basis for our examination of later realist writers in the latter half of the course. These texts are chosen by the group."
"1164","013595","Reasoning with Data","","SML 101","QR","There are no official prerequisites for this course. However  it is strongly recommended that students be comfortable with basic computer usage and some college level mathematics..","Data-driven decision-making  research discovery  and technology development are everywhere. It is now more important than ever for individuals to understand how data are used for these purposes. This course will introduce the student to how statistical reasoning and methods are used to learn from and leverage modern data. The emphasis will be on concepts and strategies for learning from data  rather than on sophisticated mathematics. Students will be exposed to the basics of statistics  machine learning  and data science through real world problems and applications. Students will also analyze data sets using the computer."
"1164","007989","Physical Hydrology","Eric F. Wood","CEE 586","","","This course concerns the role of the terrestrial hydrosphere in the climate system.Topics include the role of land within Earth's climate system terrestrial hydrological processes land-atmospheric coupling and precipitation recycling land hydrological sensitivity to projections of global change (land cover and climate). Model parameterizations for terrestrial water and energy models are discussed and developed based on the underlying physics."
"1164","010756","Poverty  Inequality and Health in the World","Angus S. Deaton","WWS 564 POP 564","","WWS 507 and 511. Please see instructor to apply for enrollment..","About well-being throughout the world  with focus on income and health. Explores what happened to poverty  inequality  and health  in the US  and internationally. Discusses conceptual foundations of national and global measures of inequality  poverty  and health; construction of measures  and extent to which they can be trusted; relationship between globalization  poverty  and health  historically and currently. Examines links between health and income  why poor people are less healthy and live less long than rich people."
"1164","007219","Painting","Eve M. Aschheim","VIS 204 ARC 328","LA","","An introduction to the materials and methods of painting. The areas to be covered are color and its interaction  the use of form and scale  painting from a model  painting objects with a concern for their mass and interaction with light."
"1164","007321","Physical Oceanography","Rong Zhang","AOS 573","","","Response of the ocean to transient and steady winds and buoyancy forcing. A hierarchy of models from simple analytical to realistic numerical models is used to study the role of the waves  convection  instabilities  and other physical processes in the circulation of the oceans."
"1164","008024","Special Topics in Statistics and Operations Research - Quantitative Asset Management","Frank J. Fabozzi","ORF 570","","","This course covers asset management focusing on quantitative models applied to equities and bonds (with emphasis on mortgage based securities). The quantitative models discussed are asset allocation models and portfolio construction models that include optimization models (mean variance framework and extensions such as robust portfolio optimization)  multi factor risk models for performance evaluation are covered. Model risk and model/strategy backtesting will be highlighted. Guest speakers from quantitative asset management firms are scheduled."
"1164","007000","Topics in Policy Analysis (Half-Term) - The Federal Budget","Martha B. Coven","WWS 594","","","This course covers how the Federal budget process is supposed to work and how it actually does work. Topics include: (1) institutions  processes  and definitions; (2) history of budget outcomes; (3) the current state of the Federal budget process; (4) the role of uncertainty in budgeting; (4) the role of politics in budgeting; and (5) the budget's short- and long-term fiscal consequences. Students are required to do one or more policy memos."
"1164","004988","Dissertation Seminar","Sarah-Jane Leslie","PHI 599","","","Open to post-generals students actively working on their dissertations. The seminar aims at assisting students in their research and writing and at developing their teaching skills by improving their ability to present advanced material to less expert audiences. Students make presentations of work in progress  discuss each other's work  and share common pedagogical problems and solutions under the guidance of one or more faculty members. It meets for two hours each week throughout the academic year."
"1164","006204","Dante's \"Inferno\"","Simone Marchesi","ITA 303 MED 303","LA","","Intensive study of the \"Inferno\"  with major attention paid to poetic elements such as structure  allegory  narrative technique  and relation to earlier literature  principally the Latin classics. Course conducted in English with highly interactive classes and preceptorials. One precept in Italian will be scheduled on a need-to-be basis."
"1164","004057","Topics in Comparative Literature - Performing the Planet","Rhonda Garelick","COM 370 ENV 372 GSS 370 ENG 379","LA","","An examination of how literature and the performing arts represent and interrogate climate change. The relationship between the human body and the earth  as seen in Classical Drama  early depictions of the New World  texts by early naturalists. The emergence of technologies of seeing and their effects on theater and dance. The relationship between conceptions of the internal body and the body of the earth (geology  landscape  maternity  the microbiome  the Sublime). Environmental theater  eco theater and dance."
"1164","013503","Hogs  Bats  and Ebola: An Introduction to One Health Policy","Laura H. Kahn","FRS 120","SA","","See website"
"1164","013054","Art and Science of Motorcycle Design","Michael G. Littman","FRS 106","STL","","See website"
"1164","012570","Solar Cells: Physics  Materials  and Technology","Barry P. Rand","ELE 557 ENE 557","","","Photovoltaic materials & devices discussed. Topics: solar flux distribution & spectra  photovoltaic parameters  loss mechanisms  Shockley-Queisser detailed balance approach  stability  light management  module design & various solar cell technologies  drawing distinctions between heterojunction and homojunction devices including crystalline Si and III-V & thin film cells such as CIGS  CdTe  dye sensitized  & organic. In-dept treatment of organic solar cells  including lab to fabricate & analyze an organic solar cell. Finally  we present methods to go beyond classical limits  such as intermediate band solar cells & multijunction devices."
"1164","003575","Readings in Early American History","James A. Dun","HIS 587","","","This course provides an introduction to the historiography of American history in the long 18th century. Readings cover the late colonial period  the American Revolution  and the early national era. While the course is designed to prepare students for general fields in these topics  considerable attention is also paid to wider hemispheric developments as well."
"1164","004158","Honors Analysis (Single Variable)","Stefanos Aretakis","MAT 215","QR","","An introduction to the mathematicsal discipline of analysis  to prepare for higher-level course work in the department. Topics include rigorous epsilon-delta treatment of limits  convergence  and uniform convergence of sequences and series. Continuity  uniform continuity  and differentiability of functions. The Heine-Borel Theorem. The Rieman integral  conditions for integrability of functions and term by term differentiation and integration of series of functions  Taylor's Theorem."
